WRITTEN AND DEVELOPED BY,ESCRITO Y DESARROLLADO POR
PUBLISHED BY,PUBLICADO POR
WITH FINANCIAL SUPPORT FROM,CON EL APOYO FINANCIERO DE
PRODUCED BY,PRODUCIDO POR
ART,ARTE
KEY ART,ARTE CLAVE
MUSIC,MÚSICA
SOUND FX,FX DE SONIDO
ADDITIONAL WRITING,REDACCIÓN ADICIONAL
ADDITIONAL CODIING,CODIFICACIÓN ADICIONAL
A special thanks to NAIVE,Un agradecimiento especial a NAIVE
for their work on,por su trabajo en
the Skald Trailer,el Tráiler Skald
A special thanks to ARTISTRY,Un agradecimiento especial a ARTISTRY
the Launch Trailer,el Tráiler de Lanzamiento
CROWDFUNDERS,CROWDFUNDERS
DARK LORD TIER,DARK LORD TIER
DEITY TIER,DEITY TIER
IMPERATOR TIER,IMPERATOR TIER
HIGH WIZARD TIER,HIGH WIZARD TIER
KNIGHT TIER,KNIGHT TIER
Workshop,Taller
Special Mention,Mención especial
General Manager,Director general
Head of Business Development,Director de desarrollo empresarial
Senior Business Development Manager,Director sénior de desarrollo empresarial
Director of Quality Assurance,Director de control de calidad
QA Operations Manager,Director de operaciones de control de calidad
Lead QA Project Manager,Director jefe de proyectos de control de calidad
QA Lab Managers,Directores de laboratorio de control de calidad
Learning & Development Manager,Director de aprendizaje y desarrollo
Learning & Development Coordinator,Coordinador de aprendizaje y desarrollo
Learning & Development Specialists,Especialistas en aprendizaje y desarrollo
QA Team Leader,Jefe de equipo de control de calidad
QA Testers,Probadores de control de calidad
IT Director,Director de TI
