original,translate,
#General,#General,
Quest Started,Quest Started,
Side Quest Started,Side Quest Started,
Sub-Quest Started,Sub Quest Started,
Quest Completed,Quest Completed,
Side Quest Completed,Side Quest Completed,
Sub-Quest Completed,Sub Quest Completed,
Quest Failed,Quest Failed,
Side Quest Failed,Side Quest Failed,
Sub-Quest Failed,Sub Quest Failed,
MAIN QUESTS,MAIN QUESTS,
SIDE QUESTS,SIDE QUESTS,
COMPLETED,COMPLETED,
FAILED,FAILED,
Success,Success,
Failed,Failed,
Main quests that have not yet been completed,Main quests that have not yet been completed,
Side-quests that have not yet been completed,Side quests that have not yet been completed,
Quests that have been completed,Quests that have been completed,
Quests that have failed,Quests that have failed,
# Tilde Sub Quests,# Tilde Sub Quests,
~ The Summoning Chamber,~ The Summoning Chamber,
~ Down Below,~ Down Below,
~ Salts of Elthanyr,~ Salts of Elthanyr,
~ Eat!,~ Eat!,
~ The Surprise,~ The Surprise,
~ The Brewer,~ The Brewer,
~ The Cook,~ The Cook,
~ The Weaver,~ The Weaver,
~ To the Tower,~ To the Tower,
~ Shrine of Agility,~ Shrine of Agility,
~ Shrine of Fortitude,~ Shrine of Fortitude,
~ Shrine of Intellect,~ Shrine of Intellect,
~ Shrine of Presence,~ Shrine of Presence,
~ Shrine of Strength,~ Shrine of Strength,
~ Talk to Markus,~ Talk to Markus,
~ Talk to Drahl,~ Talk to Drahl,
~ The Secret Tunnel,~ The Secret Tunnel,
~ The Queen's Request,~ The Queen's Request,
~ Mouths to Feed,~ Mouths to Feed,
~ Outbreak,~ Outbreak,
~ Hidden Clues,~ Hidden Clues,
~ Buried Secrets,~ Buried Secrets,
~ An Evening Meal,~ An Evening Meal,
~ The Hedge Maze,~ The Hedge Maze,
#Main Quests,#Main Quests,
A Twilight Meeting,A Twilight Meeting,
I’ve been summoned to the estate of the lord Cato Berryn,I’ve been summoned to the estate of Lord Cato Berryn,
My father’s old patron,my father’s old patron,
"Though I grew up here, I’ve not been back for decades due to the unfortunate manner in which my father left the service of House Berryn","Though I grew up here, I’ve not been back for decades due to the unfortunate manner in which my father left the service of House Berryn",
I do not know why Cato summons me now and I must venture to find out,"I do not know why Cato summons me now, and I must venture to find out",
The lord Berryn has tasked me to find his daughter,The lord Berryn has tasked me with finding his beloved daughter,
"My childhood friend, Embal","my childhood friend, Embla",
Rescue Embla,Rescue Embla,
"My father's old patron, Lord Cato Berryn, has tasked me to rescue his daughter from the island of Idra","My father's old patron, Lord Cato Berryn, has tasked me with rescuing his daughter from the island of Idra",
She was last seen in the city of Horryn and I must search for clues as to her fate,She was last seen in the city of Horryn and I must search for clues to her ultimate fate,
I found Embla in the town of Horryn,I found Embla in the town of Horryn,
Events have conspired however to make it impossible to return to the mainland,Unfortunate events have conspired that make it impossible to return to the mainland,
Instead we must venture to end the madness that has engulfed the region,"I will have to go forwards to go back, instead venturing to seek out and end the madness that has engulfed the region",
This quest has failed,This quest has failed,
Refugees of Horryn,Refugees of Horryn,
"Marcus the Chamberlain, the de-facto leader of the refugees, has pleaded with me to help the camp","Marcus the Chamberlain, de facto leader of the refugees, has pleaded with me to help the camp",
Food is running low and he’s requested I talk to Frantzo,their stores of food are running low; he’s requested I talk to Frantzo regarding the matter,
There is also a disease outbreak in camp and I should talk to Drahl the cleric about that,"Further adding to their plight, an outbreak of some pernicious disease has begun to spread throughout the camp. Drahl the Cleric may be able to shed further light on it",
Both can be found in the camp,Both can be found within in the camp proper,
I’ve done what I can for the camp and the refugees have certainly been given a fighting chance,"I’ve done what I can for the camp and its refugees for now, and its inhabitants have certainly been given a fighting chance at survival",
Mouths to Feed,Mouths to Feed,
"Frantzo, the camp’s cook and de-facto quartermaster, needs me to find food supplies for the refugees","Frantzo, the camp’s cook and quartermaster by circumstance, needs me to find food supplies for the refugees",
He needs a large supply of it and soon as people have begun dying from starvation,He needs a large supply of it as soon as is reasonably possible. The weak and infirm have already begun to depart from this realm from starvation,
I’ve provided the Frantzo with the food he needs to keep the refugees fed for the foreseeable future,I’ve managed to provide Frantzo with the requisite food needed to feed the refugees for the foreseeable future,
Jakub's Goats,Jakub's Goats,
Frantzo suggests looking into the farmer’s missing herd of goats,Frantzo suggests looking into the farmer’s missing herd of goats,
He suspects the farmer hid them away to keep them from being eaten by starving refugees,He suspects the farmer slipped them away into hiding to prevent them being set upon by packs of ravenous and famished refugees,
Bring the Goats to Camp,Bring the Goats Back to Camp,
I found Jakub's hidden goats up in a secluded mountain glen,I found Jakub's hidden goats up in a secluded mountain glen,
Now I must bring the herd of goats to the refugee camp,"Now, I must bring the herd of goats to the refugee camp",
If I don't get Jakub to agree first there may be consequences,"If I'm unable to convince Jakub to allow the goats to be returned before proceeding, there may unknown ramifications",
Convince Jakub,Convince Jakub,
Perhaps I should talk to Jakub and see if convince him to let me bring the goats back to camp,It may be prudent to first speak with Jakub to see if he can be convinced to allow the goats to be returned to camp,
"Jakub, the Idran goat farmer, has come to his senses and agreed to let me bring the goats to camp so they can be eaten","Jakub, the Idran goat farmer, has at last come to his senses and agreed to let me bring the goats to camp so they can be eaten",
He asks that I go and help his son,He asks that I go and help his son,
Return to Frantzo,Return to Frantzo,
I must return to Frantzo and tell him that I've brought Jakub's goats to camp,I must return to Frantzo and inform him of the good news: that I've brought Jakub's goats to camp,
Search for the Goats,Search for the Goats,
I need to start by looking for a clue as to where the herd could be located,I need to start by looking for a clues to determine where the herd could be located,
An Alternate Supply,An Alternate Supply,
Look for an alternate solution to the food-crisis in the refugee camp,Look for an alternate solution to the food crisis in the refugee camp,
Sea's Bounty,Sea's Bounty,
The quartermaster of the Weathermaiden has enough food-supplies to feed the refugee camp,The quartermaster of the Weathermaiden has enough food supplies to feed the refugee camp,
The downside is it will cost me 500 pieces of gold,The downside being that it will cost me 500 pieces of gold,
I’ve acquired the food-supplies needed to feed the refugees,I’ve now acquired the food supplies needed to feed the refugees,
Now all that remains is to return to Frantzo and tell him the good news,Now all that remains is to return to Frantzo and tell him the good news,
Outbreak,Outbreak,
"There is an outbreak in camp and the aged cleric, Drahl, has asked me to help him look for a cure","Famine and pestilence besets the camp. The aged cleric, Drahl, has his hands constantly full treating those that require his immediate and constant attention; thus he asked myself to aid him in this matter, and seek out a cure",
He suggests I start by talking to Hannah,He suggests I start by talking to Hannah,
The mother of a sick child who appears to have a suggestion for a cure,the mother of a sick child who may have information regarding a potential cure,
She can be found in a cottage south of camp,She can be found in a cottage south of camp,
I provided Drahl with a cure for the outbreak and it appears to be having the intended effect,I provided Drahl with a cure for the outbreak and it appears to be having the intended effect,
A Mother's Love,A Mother's Love,
A young mother in the refugee camp has pleeded with me to help save her child,A young mother in the refugee camp has pleaded with me to help save her darling and only child,
The boy's fallen ill and she begs me to seek out an old crone living in the forest in the islands interior,"Leaning over the body, you spot that not all was as it first seemed, thin strands of some bizarre purplish fungal growth protruding from the man's mouth and nose",
She would know how to help,She would know how to help,
"Though the old woman had gone insane, I was able to get medicine for the child","Though the old woman is clearly quite mad, she proved to be intimately familiar with the healing properties of flora and fauna; when the information could be pried out of the old bat, at least. I managed to convince her to part with medicine for the sickly child",
I was unable to get medicine for Hannah in time,I was unable to get medicine for Hannah in time,
Both mother and child passed,Both mother and child have passed away,
"Having gotten his medicine, Hannah's boy is looking better already","Having gotten his medicine, Hannah's boy is looking better already",
The Un-Born,The Unborn,
Mother Katak will help with the outbreak in camp,Mother Katak will help with the outbreak in the camp,
"To make medicine she has asked me to find ""the un-born of the scaled ones""","To make the medicine, she has asked me to find ""the unborn of the scaled ones""",
"Apparently they dwell nearby: ""north of the great oak and past the fetid pools""","Apparently they dwell nearby: ""north of the great oak and past the fetid pools""",
THE UN-BORN,THE UNBORN,
"To make medicine she has asked me to find ""the un-born of the scaled ones","To make medicine she has asked me to find ""the unborn of the scaled ones",
"Apparently they dwell nearby: ""north of the great oak and past the fetid pools","Apparently they dwell nearby: ""north of the great oak and past the fetid pools",
I recovered eggs from a pack of giant lizards and delivered them to the mad old hag,"I recovered some eggs from a pack of giant lizards and delivered them to the mad, old hag",
You need to find 1 GiantLizardEgg,You need to find 1 GiantLizardEgg,
You found GiantLizardEgg!,You found GiantLizardEgg!,
The Eternity Gate,The Eternity Gate,
I find myself naked and alone in the darkness,I find myself naked and alone in the darkness,
I can only surmise I am inside the strange structure that we found underneath the Black Priory,I can only surmise I am inside the strange structure that we found underneath the Black Priory,
Truly this is a place where no mortal foot was ever meant to tread,Truly this is a place where no mortal foot was ever meant to tread,
I am undone,I am utterly undone,
Dust in an endless void,Dust in an endless void,
This will be my final entry,This will be my final entry,
The Zephyr,The Zephyr,
"I need to investigate what is happening with ""The Zephyr","I need to investigate what is happening with ""The Zephyr",
A mutiny had broken out as the crew refused to bring the ship closer to Idra,A mutiny had broken out as the crew refused to bring the ship closer to Idran shore,
They claimed the island was cursed,They claimed the island was cursed,
"The zephyr was sunk by a terrible, un-namable creature of the deep","The Zephyr was sunk by a terrible, unnamable creature of the deep",
Plateau of Madness,Plateau of Madness,
The Cabal expedition landed at the mining-village of Adler’s Helm,The Cabal expedition landed at the mining village of Adler’s Helm,
I suspect we can find a way to ascend to the interior plateau on Gradla if we follow their trail to Adler's Helm and beyond,I suspect that we can find a way to ascend to the interior plateau on Gradla should we follow their trail to Adler's Helm and beyond,
"Following the ancient stairs discovered by the miners of Adler’s Helm, we have reached the interior plateau","Following the ancient stairs discovered by the miners of Adler’s Helm, we have reached the interior plateau",
The Priory lies within reach,The Priory at long last lies within reach,
Retaking Horryn,Retaking Horryn,
"To retake Horryn, we must kill the three Reaver chiefs that occupy the city","To retake Horryn, the Reaver chieftains that occupy the city must be dealt with",
"The three are know as Oleg the Gray, Queen Kala and the Butcher","The three are know as Oleg the Grey, Queen Kala, and the Butcher",
Iben cautions that the threesome is fierce and that we might use cunning and use their infighting to our advantage,"Iben cautions that the trifecta is fierce, so we might use cunning to take advantage of their infighting and use it against them",
Oleg the Gray,Oleg the Grey,
Dead Queen Kala,Dead Queen Kala,
Dead The Butcher,Dead The Butcher,
Dead,Dead,
Alive,Alive,
Alive The Butcher,Alive The Butcher,
Alive Queen Kala,Alive Queen Kala,
We have retaken the outer city,We have retaken the outer city,
STORMING THE KEEP,STORMING THE KEEP,
Storming the Keep,Storming the Keep,
"Though we have liberated the outer city, Horryn’s keep remains in the possession of the Reavers","Though we have liberated the outer city, Horryn’s keep remains in the possession of the Reavers",
The keep is well protected from a frontal assault so we need to look for an alternate entrance,"The keep is well protected from a frontal assault, so we need to look for an alternate entrance",
I successfully infiltrated the keep and slew the foul creature known as “Father,I successfully infiltrated the keep and slew the foul creature known as “Father,
The Secret Tunnel,The Secret Tunnel,
Hierophant Drahl believes a secret tunnel exists that connects the keep to the crypts underneath the temple,Hierophant Drahl believes a secret tunnel exists that connects the keep to the crypts underneath the temple,
The sacred crypts of the Sepulchites can be accessed from within the temple,The sacred crypts of the Sepulchites can be accessed from within the temple,
"Drahl suspects that if a secret tunnel does indeed exist, it probably lies in the deeper sections of the crypts","Drahl suspects that if a secret tunnel does indeed exist, it likely lies in the deeper sections of the crypts",
"Though the crypt was overrun by foul undead creatures, we did indeed find the secret tunnel","Though the crypt was overrun by foul undead creatures, we did indeed find the secret tunnel",
Talk to Drahl,Talk to Drahl,
"According to Markus, Hierophant Drahl might know of a secret entrance into the keep","According to Markus, Hierophant Drahl might know of a secret entrance into the keep",
The Hierophant can be found in front of the newly liberated temple,The Hierophant can be found in front of the newly liberated temple,
I met and talked to the Hierophant,I met and talked to the Hierophant,
TALK TO MARKUS,TALK TO MARKUS,
Talk to Markus,Talk to Markus,
I’ve been told to meet Markus the Chamberlain at the inn that lies west of the city square in Horryn,I’ve been told to meet Markus the Chamberlain at the inn that lies west of the city square in Horryn,
I suspect he has an idea about how to pierce the keep's defences,I suspect he has an idea about how to pierce the keep's defences,
I found and talked to Markus,I found and talked to Markus,
Untold Eons,Untold Eons,
"We’ve penetrated the dungeons that lay beneath the Black Priory and entered into the black, timeless realms beyond","We’ve penetrated the dungeons that lay beneath the Black Priory and entered into the black, timeless realms beyond",
Now it remains to be seen what untold secrets have lain hidden for so long,Now it remains to be seen what untold secrets have lain hidden for so long,
We found what the Cabal was excavating underneath the Priory,We found what the Cabal was excavating underneath the priory,
By the Golden how I wish we had let it lie in peace,"By the Golden, how I wish we had let it lie in peace",
I fear there is no salvation for us now,I fear there is no salvation for us now,
The Priory Opens,The Priory Opens,
We’ve entered the Black Priory,We’ve entered the Black Priory,
"Whatever secrets the Cabal expedition found here, I suspect they lay beneath the priory","Whatever secrets the Cabal expedition found here, I suspect they lay beneath the priory",
We must find a way to enter the dungeon below,We must find a way to enter the dungeon below,
We have breached the lower level of the priory,We have breached the lower level of the priory,
To Sleep and Dream,To Sleep and Dream,
The secrets of the Priory are within reach,The secrets of the Priory are within reach,
We must navigate the catacombs and reach the great secret that lies at its heart,We must navigate the catacombs and reach the great secret that lies at its heart,
May the Dead save us,May the Dead save us,
The secrets of this place are far deeper and more ancient than any of us could have guessed,The secrets of this place are far deeper and more ancient than any could have imaged,
We descend now into a darkness from which I fear we’ll never re-emerge,"Embla and I descend now, into a darkness from which I fear we’ll never re-emerge",
Upon Black Seas,Upon Black Seas,
I rescued Embla but we find that there is no way to return to the main-land whilst the Outer Isles is engulfed in this madness,"I rescued Embla, but we find that there is no way to return to the mainland whilst the Outer Isles is engulfed in this madness",
Embla is convinced the calamity is somehow caused by the discovery of an ancient site known as “The Black Priory” on the island of Gradla,"Embla is convinced the calamity is somehow caused by the discovery of an ancient site known as “The Black Priory”, on the island of Gradla",
Gradla is located to the north of Idra and we must find a ship and crew willing to take us there,Gradla is located to the north of Idra and we must find a ship and crew willing to take us there,
Gradla is within sight,Gradla is within sight,
Now we must make landfall and seek a way to reach the inland plateau,Now we must make landfall and seek a way to reach the inland plateau,
#Side Quests,#Side Quests,
The Boar's Medicine,The Boar's Medicine,
Kydeon asked me fetch a bottle of brandy from the wine cellar under the kitchen after I talk to Lyra,Kydeon asked me fetch a bottle of brandy from the wine cellar under the kitchen after I talk to Lyra,
The old boar will sleep soundly tonight,The old boar will sleep soundly tonight,
M' damn knees are acting up again,My blasted knees are actin' up again,
Can't hardly sleep on account of the aches,"Can 'ardly sleep, wot with all the achin'",
"Let me tell you, I'd take an arrow in the leg any day","I'll tell you somethin', I'd take an arrow in the eye any day of the week",
"If you're going over to the kitchen later for a bit of grub, a bottle of brandy from the wine-cellar would make me a happy man!","If you're gonna go to the kitchen later for a bit o' grub, pick us up a bottle of brandy from the wine-cellar, would ya? I'd be all the merrier for it, and bloody grateful, too!",
Kydeon shifts as if to emphasize his stiff knees,Kydeon shifts as if to emphasise the stiffness in his arthritic knees,
Ha!,Ha!,
That's some fine foraging young whelp!,"That's some fine foraging, young whelp!",
"Before you can get a word in, Kydeon snatches the bottle, uncorks it and drinks deeply","Before you can open your mouth. Kydeon snatches the bottle, pops out the cork, tips back his head and takes a lengthy swig",
"The old man, eyes closed in relief, lets out a deep sigh","Closing his eyes having been granted this momentary reprieve, the old man lets out a contented sigh",
May your sleep be dreamless,May your sleep be dreamless,
he speaks as if to himself,"he speaks, unwittingly thinking out loud",
The Cellar,The Cellar,
Look for your father in the cellar under the kitchen,Look for your father in the cellar under the kitchen,
You found your father,You found your father,
The Beast in the Hearth,The Beast in the Hearth,
Lyra has betted with me to see if I can sneak into the hearth of the villa and confront the 'beast' that hides there,"Lyra has made a wager with me, to see if I can sneak into the hearth of the villa and confront the “beast” that hides there",
I won our wager and snuk into the hearth,"I won our bet, successfully sneaking into the hearth",
There I met a mercenary by the name or Roland Greyeye,There I met a mercenary by the name of Roland Greyeye,
I failed to sneak into the hearth,"I failed to sneak into the hearth, losing the bet; and a little pride in the process",
Exploring the Grounds,Exploring the Grounds,
"While I wait for the Lord Berryn to become available, I should look for some food and perhaps walk the gardens and hedge maze before I check back in with Lyra again","While I wait for the Lord Berryn to become available, I should look for some food and perhaps take a stroll through the gardens and the hedge maze before I check back in with Lyra again",
The lord of House Berryn is ready for me now,The lord of House Berryn is ready for me now,
An Evening Meal,An Evening Meal,
I have been ordered to go procure a meal for myself from the kitchen as there is no saying how long I will be waiting,"I have been ordered to go and procure a meal for myself from the kitchen, as there is no saying how long I shall be kept waiting",
I should talk to the chef,I should talk to the chef,
Chef Armand taught me to make his famous melted cheese sandwiches,Chef Armand taught me to make his famous melted cheese sandwiches,
"Surely, old Magda cries in the tomb at what her kitchen has come to","Surely, old Magda cries in the tomb at what her kitchen has come to",
Chef Armand has offered to teach me how to make his famous cheese sandwich,Chef Armand has offered to teach me how to make his famous cheese sandwich,
For starters I have to fetch cheddar cheese and cured ham from the cellar under the kitchen,"For starters, I have to fetch cheddar cheese and cured ham from the kitchen cellar",
My suggestion is thusly,My suggestion is thus,
"Whilst I stoke the fire, you run down in the pantry and fetch some cured ham and cheddar cheese","Whilst I stoke the fire, you run down in the pantry and fetch some cured ham and cheddar cheese",
I will then teach you how to cook my renowned melted cheese sandwich and you shall never want for an evening meal for as long as you live!,"Upon your return, I will teach you how to cook my renowned melted cheese sandwich; you shall never want for an evening meal for as long as you live!",
The Hedge Maze,The Hedge Maze,
Lyra suggests I should explore the hedge-maze in the villa grounds while I wait for master Cato to become ready,Lyra suggests I should explore the hedge maze in the villa grounds while I wait for master Cato to become ready,
"You managed to find ""Embla"" in the maze","You managed to find ""Embla"" in the maze",
A Deeper Dark,A Deeper Dark,
One of the lighthouse keepers went mad and killed himself after dreaming of a strange blade buried deep within the caves below the lighthouse,One of the lighthouse keepers went mad and killed himself after dreaming of a strange blade buried deep within the caves below the lighthouse,
Perhaps that artifact should be recovered for safe-keeping... or use,That artifact could be recovered for safekeeping... or personal use,
