original,translate,
#General,#General,
Prologue,Prologue,
Chapter,Chapter,
Quest Completed,Quest Completed,
Two Weeks Earlier,Two Weeks Earlier,
Quest Started,Quest Started,
#,#,
# Books,# Books,
#,#,
#DeadSmugglerJournal,#DeadSmugglerJournal,
I hate these jobs,I hate these jobs,
Dropped off and told to guard the cargo until the next ship picks you up,Dropped off and told to guard the cargo until the next ship picks you up,
And in this bloody cave no less,"And whilst the bastards up in the northern cave are living the good life, I’m stuck in this hole",
I sometimes think the Imperial dungeons would be preferable,I sometimes think the Imperial dungeons would be preferable,
Read on,Read on,
Leave,Leave,
We spent some time exploring the cave today and it seems there is a side tunnel,We spent some time exploring the cave today and it seems there is a side tunnel,
"It's blocked off but if we had a pickaxe, I'm certain we could clear in with ease","It's blocked off but if we had a pickaxe, I'm certain we could clear in with ease",
Bryn says the area gives him the chills and that we better keep away,Bryn says the area gives him the chills and that we better keep away,
Coward!,Coward!,
Golden dead!,Golden Dead!,
Bryn got attacked by a crab the size of a warhound today!,Bryn got attacked by a crab the size of a warhound today!,
Nearly took his leg off!,Nearly took his leg off!,
Neither of us have seen anything like it before and we can only pray it was alone!,Neither of us have seen anything like it before and we can only pray it was alone!,
Hope the ship won't be delayed much longer,Hope the ship won't be delayed much longer,
Bryn is gone,Bryn is gone,
"Tore him up, they did!","Tore him up, they did!",
No way out and no one is coming for me!,"No way out, and no one is coming for me!",
Light is failing,Light is failing,
Mother,Mother,
#IntroSurgeonJournal,#IntroSurgeonJournal,
Surgeon's Journal,Surgeon's Journal,
Written on the day of departure from mainland,Written on the day of departure from mainland,
Left Adler's Helm today with a full cargo of passengers,Left Adler's Helm today with a full complement of passengers,
Mercenaries by the looks of it,"Mercenaries, by the looks of it",
Paid well,Paid well,
Ship was dispatched by Guild before we could fully restock medical supplies,Ship was dispatched by Guild before we could fully restock medical supplies,
Hopefully we won't need them,"Hopefully, we won't need them",
"Then again, our passengers make me uneasy","Then again, our passengers make me uneasy",
Writtern 5 days ago,Written 5 days ago,
Brawl in mess - had to set nose,Brawl in the mess - had to set nose,
Men seem on edge,The men seem on edge,
"Also, Igan came to me today with a bite-wound that he sustained whilst working in the hold","Also, Igan came to me today with a bite-wound that he sustained whilst working in the hold",
Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,Didn't see creature; I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,
I recommend captain sends detail to capture and kill creature,I recommend the Captain sends a detail to capture and kill creature,
Written two days ago,Written two days ago,
Was visited today by navigator Aslam,Was visited today by navigator Aslam,
He asked for Whitefern - a sedative,He asked for Whitefern - a sedative,
Claimed he had trouble sleeping,Claimed he had trouble sleeping,
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'","Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'",
Not sure what he meant and he left before I could push him further,Not sure what he meant and he left before I could push him further,
Written today,Written today,
Men are about to break,Men are about to break,
We cannot maintain our course for Idra,We cannot maintain our course for Idra,
Captain advised me today to make ready the surgery and to expect casualties,Captain advised me today to make ready the surgery and to expect casualties,
I suspect he intends to inform our passengers that he refuses to land on the island,I suspect he intends to inform our passengers that he refuses to land on the island,
If this is my last,If this is my last,
The entry trails off,The entry trails off,
#,#,
# Chapter_0,# Chapter_1,
#,#,
#IntroBerrynGuard,#IntroBerrynGuard,
A guardsman dressed in the livery of the noble house Berryn,A guardsman dressed in the livery of the noble house Berryn,
The guard scowls somewhat at you,The guard scowls at you,
Armsmaster Lyra awaits you at the main entrance,Armsmaster Lyra awaits you at the main entrance,
You best talk to her if you've not already done so,You best talk to her if you've not already done so,
You'll find the kitchen in the eastern end of the courtyard,You'll find the kitchen in the eastern end of the courtyard,
The garden and hedge-maze is to the west,The garden and hedge maze is to the west,
And I needn't remind you that it's a poor idea to enter the maze without a lantern,And I needn't remind you that it's a poor idea to enter the maze without a lantern,
Have a good evening m'lord,"Have a good evening, m'lord",
Have a good evening m'lady,"Have a good evening, m'lady",
#IntroCato,#IntroCato,
Cato stands - with poorly concealed effort,Cato stands - with poorly concealed effort,
And {PLAYER},And {PLAYER},
"You stand, and meet his gaze","You stand, and meet his gaze",
Return her to me,Return her to me,
There is no other outcome of this affair,There is no other outcome of this affair,
"Shake his hand, and leave","Shake his hand, and leave",
"Remain silent, and leave","Remain silent, and leave",
"You have my word, Cato","You have my word, Cato",
LEAVE,LEAVE,
Cato Berryn,Cato Berryn,
"Cato Berryn sits tall in a tasteful, but modest reception room","Cato Berryn sits tall in a tasteful, but modest reception room",
He looks less imposing than you remember - and with a few more crow's feet,He looks less imposing than you remember - and with a few more crow's feet,
"Nonetheless, he's lost none of his composure or air of casual authority","Nonetheless, he's lost none of his composure or air of casual authority",
Continue,Continue,
You take a seat across a formidable desk from him,You take a seat across a formidable desk from him,
"This study, like the rest of the villa, is half-lit, giving a morose cast to its opulence","This study, like the rest of the villa, is half-lit, giving a morose cast to its opulence",
"The older man's face creases into a tired, but genuine smile, which momentarily lifts some of the room's oppressive mood","The older man's face creases into a tired, but genuine smile, which momentarily lifts some of the room's oppressive mood",
"It's a mercy to see you again - your own man, and in your prime","It's a mercy to see you again - your own man, and in your prime",
"Cato says, before a frown consumes his smile","Cato says, before a frown consumes his smile",
It's just a shame our reunion is overshadowed by the fates of those we love,It's just a shame our reunion is overshadowed by the fates of those we love,
"But perhaps, together, we can yet improve our collective circumstances?","But perhaps, together, we can yet improve our collective circumstances?",
It's a mercy to see you again - your own woman and in your prime,It's a mercy to see you again - your own woman and in your prime,
Why have you summoned me?,Why have you summoned me?,
"So, you know my Father is dead","So, you know my Father is dead",
"Cato leans forward, hands clasped beneath his chin","Cato leans forward, hands clasped beneath his chin",
I shan't deny it,I shan't deny it,
I was saddened to hear of his passing,I was saddened to hear of his passing,
"Despite everything, I remember him fondly","Despite everything, I remember him fondly",
You drove him to drink and mercenary work,You drove him to drink and mercenary work,
No need to dwell on the past,No need to dwell on the past,
"Cato leans back again, and his eyes go distant","Cato leans back again, and his eyes go distant",
He failed in his duties,He failed in his duties,
"For an arms-master, there is no greater shame than a lapse of vigilance","For an arms master, there is no greater shame than a lapse of vigilance",
He drove himself into exile,He drove himself into exile,
Lyra shifts slightly behind Cato,Lyra shifts slightly behind Cato,
"If he failed, then it was never possible to succeed","If he failed, then it was never possible to succeed",
Say nothing,Say nothing,
A pregnant pause,A pregnant pause,
He failed her,He failed her,
Your father's exile was a sorrow to me,Your father's exile was a sorrow to me,
Yet he could not remain in the household - for Embla's sake,Yet he could not remain in the household - for Embla's sake,
"The loss of a mother is tragedy enough, without being reminded of it","The loss of a mother is tragedy enough, without being reminded of it",
Embla?,Embla?,
Do not hide behind your daughter,Do not hide behind your daughter,
The past is done with!,The past is done with!,
Tell me why I'm here!,Tell me why I'm here!,
That may be so,That may be so,
But it is done,But it is done,
I regret his loyalty could not be rewarded,I regret his loyalty could not be rewarded,
Sometimes...the tapestry's weave is not so easy to discern,Sometimes...the tapestry's weave is not so easy to discern,
"Cato's face is still mild, yet you sense his tone hardening","Cato's face is still mild, yet you sense his tone hardening",
Fine,Fine,
I'm sure we've both moved on,I'm sure we've both moved on,
"By exiling him, you condemned me as well","By exiling him, you condemned me as well",
Your anger is understandable,Your anger is understandable,
The hardships you must have suffered on the road are written in your face,The hardships you must have suffered on the road are furrowed into your brow,
"Such is the cost of mercenary work, I suppose","Such is the cost of mercenary work, I suppose",
But do not presume to understand the forces that were at play,But do not presume to understand the forces that were at play,
And still are,And still are,
"Just tell me why I'm here, old man!","Just tell me why I'm here, you old codger!",
"Cato is caught off-guard for a moment, before letting out a deep breath","Cato is caught off-guard for a moment, before letting out a deep breath",
Then the years have bestoweed you with wisdom,Then the years have bestowed you with wisdom,
"I am glad, for it has forsaken the House of Berryn","I am glad, for it has forsaken the House of Berryn",
Why have you called me here?,Why have you called me here?,
Embla is missing,Embla is missing,
"Cato's voice quivers momentarily, betraying his stoic features","Cato's voice quivers momentarily, betraying his stoic features",
"Now I beg of you, {PLAYER}","Now I beg of you, {PLAYER}",
Help me find my daughter,Help me find my daughter,
"Help her return home, where she belongs","Help her return home, where she belongs",
Why me?,Why me?,
What's happened to her?,What's happened to her?,
Is it not obvious?,Is it not obvious?,
You've clearly grown to inherit your fathers resourcefulness - and besides - Embla has trusted you since before either of you could speak,You've clearly grown to inherit your father's resourcefulness - and besides - Embla has trusted you since before either of you could speak,
And now the fool has got herself into trouble?,And now the dolt has gotten herself into trouble?,
"She left without notice, a week ago","She left without notice, a week ago",
"From the scant clues we had, we believe she boarded a ship bound for one of the Outer Isles, Idra","From the scant clues we had, we believe she boarded a ship bound for one of the Outer Isles, Idra",
She went of her own free will,She went of her own free will,
At the time I thought little of it,At the time I thought little of it,
Cato begins to glower,Cato begins to glower,
"Since then, however, there have been 'reports'","Since then, 'reports' have unfortunately begun to surface",
Grave ones,Grave ones,
Reports?,Reports?,
Something has been building in her for years,Something has been building in her for years,
An 'aptitude' of sorts,An 'aptitude' of sorts,
But I suspect you already knew?,But I suspect you already knew?,
"In any case, it's grown much stronger lately and drives her in ways I cannot understand","In any case, it's grown much stronger lately and drives her in ways I cannot understand",
I suspect she is looking for... answers,I suspect she is looking for... answers,
But why Idra?,But why Idra?,
An aptitude?,An aptitude?,
What am I to do?,What am I to do?,
An aptitude of the worst kind,An aptitude of the worst kind,
It does not spring from the canonical Imperial praxis,It does not spring from the canonical Imperial praxis,
Instead it comes from elsewhere,"Instead, it comes from elsewhere",
It is the kind the Empire does not suffer to exist,It is the kind the Empire does not suffer to exist,
I hope it's only answers that she seeks,I hope it's only answers that she seeks,
I see,I see,
What can I do?,What can I do?,
Why indeed?,"Why, indeed?",
There is little on the island save the port of Horryn,There is little on the island save the port of Horryn,
"If Idra was her destination, she must have landed there","If Idra was her destination, she must have landed there",
Horryn?,Horryn?,
What of her 'aptitude'?,What of her 'aptitude'?,
Yes,Yes,
"An old Imperial port and home to a few hundred whalers, traders and the occasional smuggler","An old Imperial port and home to a few hundred whalers, traders and the occasional smuggler",
"We can only speculate as to what drew her there, but it's our only lead","We can only speculate as to what drew her there, but it's our only lead",
How can I help her?,How can I help her?,
You mentioned her 'aptitude'?,You mentioned her 'aptitude'?,
"Hire mercenaries, travel to Idra and begin your search in the port of Horryn","Hire mercenaries, travel to Idra, and begin your search in the port of Horryn",
"From there, I trust you to do what needs be done","From there, I trust you to do what needs be done",
"Spare no cost, just bring back my daughter","Spare no cost, just bring back my daughter",
Mercenaries?,Mercenaries?,
"The man is a grizzled veteran - he may have slowed with age, but his experience and reliability more than make up for it","The man is a grizzled veteran - he may have slowed with age, but his experience and reliability more than make up for it",
He's also much respected by similar men - and so will be instrumental in hiring a reliable crew,He's also much respected by similar men - and so will be instrumental in hiring a reliable crew,
I'll take it into consideration,I'll take it into consideration,
"I trust your instincts, but I beseech you consider him - he's no great dinner guest, but he's been irreplaceable elsewhere","I trust your instincts, but I beseech you consider him - he's no great dinner guest, but he's been irreplaceable elsewhere",
Is that so?,Is that so?,
Very well,Very well,
"Cato shows you his upturned palms, beseeching,","Cato shows you his upturned palms, beseeching,",
I know this thing I ask of you is fraught with danger,I know this thing I ask of you is fraught with danger,
"But this is your chance at improving your fortune - materially, and in honour","But this is your chance at improving your fortune - materially, and in honour",
What say you?,What say you?,
I accept - for Embla's sake,I accept - for Embla's sake,
Very well - For my family's name,Very well - For my family's name,
I'll do it,I'll do it,
For the gold,For the gold,
What makes you think I care?,What makes you think I care?,
"A chill draught causes a nearby candle to flicker, and you see the cold mirrored in Cato's features","A chill draught causes a nearby candle to flicker, and you see the cold mirrored in Cato's features",
You are not to blame for the decline in your family's fortune,You are not to blame for the decline in your family's fortune,
But you could be responsible for restoring it,But you could be responsible for restoring it,
We'll see,We'll see,
I will be,I will be,
"Cato smiles softly, visibly relieved, and for a moment he looks like the man you remember","Cato smiles softly, visibly relieved, and for a moment he looks like the man you remember",
Have you any final questions or matters to discuss?,Have you any final questions or matters to discuss?,
"Time is, as I'm sure you appreciate, of the essence","Time is, as I'm sure you appreciate, of the essence",
Let's just get on with it,Let's just get on with it,
"If nothing else, the port will be dangerous enough","If nothing else, the port will be dangerous enough",
That is why I have summoned a Roland Greyeye to me - a crude but effective sell-sword - that I've made good use of before,That is why I have summoned a Roland Greyeye to me - a crude but effective sell-sword - that I've made good use of before,
He shall accompany you on this task,He shall accompany you on this task,
Roland Greyeye?,Roland Greyeye?,
I work alone!,I work alone!,
I met the man just before seeing you,I met the man just before seeing you,
"No one, and no word has left Idra in days","No one, and no word has left Idra in days",
Rumor has it even the Imperial augurs are in the dark,Rumour has it even the Imperial augurs are in the dark,
"I know not how this touches the fate of my daughter, but she must be returned to me, one way or another","I know not how this touches the fate of my daughter, but she must be returned to me, one way or another",
Any idea why she left?,Any idea why she left?,
#IntroCellar,#IntroCellar,
Empty bottles litter the floor of this room,Empty bottles litter the floor of this room,
You chuckle to yourself as you imagine the kitchen staff in their wine tasting sessions,You chuckle to yourself as you imagine the kitchen staff in their wine tasting sessions,
"No doubt, much revelry has taken place here","No doubt, much revelry has taken place here",
Then a cool gust of air from the passage to the north,Then a cool gust of air from the passage to the north,
The wine cellar lies that way and you can almost hear faint sobbing,"The wine cellar lies that way, and you can almost hear faint sobbing within",
Ghosts no doubt,"Ghosts, no doubt",
#IntroChef,#IntroChef,
Ha!,Ha!,
The old wretch is too cowardly to come himself so he sends you instead?,The old wretch is too cowardly to come himself so he sends you instead?,
The brandy will be the end of him I say,"The brandy will be the end of him, I say",
"Then again, who am I to deny the old fool his few pleasures","Then again, who am I to deny the old fool his few pleasures",
You'll find a crate of fine Gorremian brandy in the north-east corner of the wine cellar,You'll find a crate of fine Gorremian brandy in the north-east corner of the wine cellar,
Hold on!,Hold on!,
Let me see what you made!,Let me see what you made!,
Armand excitedly licks his lips,Armand excitedly licks his lips,
Present the Sandwich for inspection,Present the sandwich for inspection,
The chef offers a short bow and a tired but sincere smile,The chef offers a short bow and a tired but sincere smile,
I am chef Armand and my humble kitchen is at your disposal m'lord,"I am chef Armand, and my humble kitchen is at your disposal m'lord",
I am chef Armand and my humble kitchen is at your disposal m'lady,"I am chef Armand, and my humble kitchen is at your disposal m'lady",
Sadly I was told of your arrival only minutes ago and my oven must be fired up again,"Sadly, I was told of your arrival only minutes ago; my oven must be fired up again",
You must be famished?,"You must be famished, no?",
Indeed I am,"Indeed, I am",
Splendid!,Splendid!,
"The pantry is west of the wine cellar, and the cheese is kept in the northernmost room","The pantry is west of the wine cellar, and the cheese is kept in the northernmost room",
Return when you have the cured ham and cheddar and I shall provide bread and instructions,"Return when you have the cured ham and cheddar, and I shall provide bread and instructions",
"Now, venture forth into the underworld!","Now, venture forth into the underworld!",
Where is the cellar?,Where is the cellar?,
Kydeon has asked me to fetch him a bottle of brandy,Kydeon has asked me to fetch him a bottle of brandy,
Perfect!,Perfect!,
"First of all, here is some bread","First of all, here is some bread",
"Now, the cauldron is quite empty and just warm enough for you to use","Now, the cauldron is quite empty and just warm enough for you to use",
Remember,Remember,
"You need both the bread, ham and cheese to make the perfect sandwich!","You need both the bread, ham and cheese to make the perfect sandwich!",
"Now, go give it a try and bring me the result!","Now, go give it a try and bring me the result!",
I shall see if you have it in you!,I shall see if you have it in you!,
"Chef Armand wanders back and forth, tending the fire and keeping his kitchen tidy","Chef Armand wanders back and forth, tending the fire and keeping his kitchen tidy",
He has the gait of a man who has been on his feet for far too many hours,He has the gait of a man who has been on his feet for far too many hours,
I have the ham and cheese!,I have the ham and cheese!,
Present the sandwich for inspection,Present the sandwich for inspection,
Where is the cellar again?,Where is the cellar again?,
Use the hatch in the floor over there!,Use the hatch in the floor over there!,
Armand points towards a wooden hatch by the wall,Armand points towards a wooden hatch by the wall,
"It's quite dark down there, but there should be a lantern in a chest near the stairs","It's quite dark down there, but there should be a lantern in a chest - near the stairs",
Good luck!,Good luck!,
#IntroMadSailors,#IntroMadSailors,
Sailors,Sailors,
The sailors stare at you wide-eyed and terrified,The sailors stare at you wide-eyed and terrified,
Dead Emperors!,Dead Emperors!,
It's coming for us!,It's coming for us!,
It whispers to me!,It whispers to me!,
One of them draws a weapon with shaking hands,One of them draws a weapon with quivering hands,
Get away from me!,Get away from me!,
Calm yourself - You're guild sailors!,Calm yourself - you're guild sailors!,
"Half-insane with terror, the sailors scream and lunge at you!","Half-insane with terror, the sailors scream and lunge at you!",
Attack,Attack,
The men stop dead in their tracks - seemingly shocked back from their momentary lapse of sanity by your words,The men stop dead in their tracks - seemingly shocked back from their momentary lapse of sanity by your words,
The pair blinks towards you in a moment of indecision and then stumbles up to the main deck and the tumult that seems to be taking place there,The pair blinks towards you in a moment of indecision and then stumbles up to the main deck and the tumult that seems to be taking place there,
#IntroMonster,#IntroMonster,
"You dash towards the ship's fractured rail, dodging holes in the deck and wounded men, beseeching you for help","You dash towards the ship's fractured rail, dodging holes in the deck and wounded men, beseeching you for help",
Roland hangs by one arm from the side of the ship,Roland hangs by one arm from the side of the ship,
Try to grab him!,Try to grab him!,
"Before Estavo can smirk in satisfaction, a tentacle whips into the lifeboat, leaving a dark smear against the now buckling hull","Before Estavo can smirk in satisfaction, a tentacle whips into the lifeboat, leaving a dark smear against the now buckling hull",
"Looking up, you see the remaining tentacles high above you, poised for the coup de grace","Looking up, you see the remaining tentacles high above you, poised for the coup de grace",
Abandon ship!,Abandon ship!,
"You lunge for Roland's arm, but he loses his grip and your fingers close only around thin air - you missed him by an inch","You lunge for Roland's arm, but he loses his grip and your fingers close only around thin air - you missed him by an inch",
He falls wordlessly downwards,He falls wordlessly downwards,
You regard the tentacles with morbid fascination,You regard the tentacles with morbid fascination,
