original,translate
#General,#일반
Picked up,획득:
Something just struck the ship!,무언가 배에 부딪혔습니다!
Locked!,잠겨 있습니다!
Equipped {ITEM},{ITEM} 장착
Unequipped {ITEM},{ITEM} 장착 해제
I spotted something!,무언가 발견했습니다!
You add,당신은
to your party,을(를) 파티에 추가했습니다
is now leading the party!,이(가) 이제 파티를 이끕니다!
Game Saved,게임 저장됨
I don't see any enemies!,적이 보이지 않습니다!
Picked up some items,아이템을 획득했습니다
Cannot use a ranged weapon in melee,근접 교전 중에는 원거리 무기를 사용할 수 없습니다
It's too dark to make out anything!,너무 어두워서 아무것도 식별할 수 없습니다!
Used {ITEM},{ITEM} 사용
Crafted,제작:
Can't be far now?,이제 멀지 않았겠지?
Added Ability,능력 추가됨
