original,translate
#Backgrounds,#Backgrounds
Acolyte,Acolyte
You claim a connection with the divine that goes far deeper than most,You claim a connection with the divine that goes far deeper than most
"Whether legitimate of not, you’re always ready to dispense holy wisdom; Be it Imperial gospel or the profane ramblings of the heretic","Whether legitimate of not, you’re always ready to dispense holy wisdom; be it Imperial gospel or the profane ramblings of the heretic"
Thug,Thug
"Punch first, ask questions later","Learned in the ways of Alexander, you have perfected the noble art of problem solving through decisive action; by cutting the knot instead of untangling it"
You have perfected the noble art of solving problems with brute force,In club form
Courtier,Courtier
Your time spent kissing noble arses has made you a master of navigating the cut-throat politics of the Imperial lay-courts,Your sycophant brown-nosing of nobles has granted you both experience in the diplomatic world of the Imperial lay-courts and an acute ability to read the subtle body language of others
Criminal,Criminal
You are an esteemed member of the Empire’s teeming underworld with a special knack for getting in and out of places you shouldn’t be,"You are an esteemed member of the Empire’s teeming underworld, with a special knack for getting in and out of places you shouldn’t be"
Fortune's Fool,Fortune's Fool
Deluxe Edition class,Deluxe Edition class
You have unnaturally good luck and seem to find much more gold than others after combat,You have unnaturally good luck and seem to find much more gold than others after combat
Savant,Savant
You’re a very fast learner and advance more rapidly through levels,"Due to being adept in the skills of learning you pick things up rather quickly; having a keen mind and studious sensibilities allows you to gain a deeper understanding from identical experiences, relative to others"
Scout,Scout
You’re remarkably fleet of foot,You’re remarkably fleet of foot
Entertainer,Entertainer
"In equal parts despised and adored by the wealthy of the Empire, the traveling entertainer can make a pretty penny off their blinding charisma and nimble fingers","In equal parts despised and adored by the wealthy of the Empire, the travelling entertainer can make a pretty penny off their blinding charisma and-- versatile prestidigitation"
Guilder,Guilder
"Like so many of the Empires young and promising, you were recruited into guild service at a fairly early age","Like so many of the Empires young and promising, you were pressed into recruitment of guild services at a fairly early age"
"As the saying goes, work for the illustrious guilds tends to leave you with 'gold in your purse and blood on your hands'","As the saying goes, work for the illustrious guilds tends to leave you with ""gold in your purse and blood on your hands"""
Laborer,Labourer
You’ve spent years toiling under the oppressive yoke of hard labor,You’ve spent years toiling under the oppressive yoke of hard labour
"Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship","Though it may not have left you with much coin in your pocket, it has given you an unnatural resistance to hardship"
Ex-Legionary,Former Legionnaire
A member of the ‘old breed’; forged and tempered by the hardships of soldiering,A member of the “old breed”; forged and tempered by the hardships of soldiering
You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home,You now belong to the ever-growing fraternity of fellow men and women with scarred bodies and broken minds who roam the Empire in search for a quiet piece of land to call home
Sellsword,Sell-sword
"With the once-mighty legions of the Empire in decline, this is an age of sellswords and mercenaries","With the once-mighty legions of the Empire in decline, this is an age of sell-swords and mercenaries"
There is no shortage of those willing to pay professionals to wreak violence on others and you are very good at your job,There is no shortage of those willing to pay professionals to wreak violence on others; professionals such as yourself
Monastic,Monastic
You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities,You have served one of the holy orders of the Empire from the safety of one of its walled monastic communities
Pray the world has not grown too cruel in your absence,Pray the world has not grown too cruel in your absence
Noble,Noble
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses","An descendant of a pure-blooded heritage, it's second nature to you that having sufficient wealth and knowing how to properly display it avoid many obstacles; the same guard who bows and opens the castle gates to you slams it shut to the filthy beggar"
Sailor,Sailor
You’ve heard the call of the Mother of Maelstroms and salt water now runs in your veins,You’ve heard the call of the Mother of Maelstroms and saltwater now runs in your veins
"Whether on the deck of a Guilder caravel or manning the sails of a meager fishing sloop, you feel most at home when you’re at sea","Whether on the deck of a Guilder caravel or manning the sails of a meagre fishing sloop, you feel most at home when you’re at sea"
Street Rat,Street Rat
Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving,Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving
No crime is too petty - no meat too mysterious,no crime is too petty - no meat too mysterious
Vagabond,Vagabond
"Having spent most of your teenage years’ on the road, you are a free spirit with no allegiance to any one person or place","Having spent most of your teenage years on the road, you are a free spirit with no particular allegiance to any one person or location"
"Drifting from place to place, you go where there is work, food and a warm bed to be had","Drifting from place to place, you go where there is work, food, and a warm bed to be had"
Wildling,Wildling
"As the light of civilization fades, the vast wildernesses of the Empire encroach on the civilized folk",The candlelit libraries of civilisation bleed into the vast wilderness that surround it
Thankfully you don’t count yourself among those,"But as each is snuffed out one by one, you are thankful to not count yourself among them"
The sky is your temple and the howling of wolves your litany,You instead find knowledge lit by the light of the moon and direction from the chorus of howling wolves
Nomad,Nomad
"You’ve spent years across the seas, living with the desert nomads","Seas of water, seas of sand; you've wandered each for many winters"
"Though ever the outsider, the nomads deemed you trust-worthy enough to become an initiate in the mysteries of their pagan fire-worship","Though ever the outsider, the nomads deemed you trustworthy enough to become an initiate in the mysteries of their pagan fire-worship"
Snake-Cultist,Snake-Cultist
Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss,Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss
#NPC Backgrounds,#NPC Backgrounds
Citizen,Citizen
Craftsman,Craftsman
Farmer,Farmer
Fisherman,Fisherman
Guild Sailor,Guild Sailor
Insane,Insane
Official,Official
Refugee,Refugee
Servant,Servant
Vagrant,Vagrant
Shipwrecked,Shipwrecked
