original,translate
#Animals,#Animals
Chicken,Chicken
Dog,Dog
The dog is roaming around restlessly,The dog is roaming around restlessly
Goat,Goat
#Common Humanoids,#Common Humanoids
Commoner,Commoner
Guard,Guard
Guest,Guest
Scullion,Scullion
Good evening m'lord,"Good evening, m'lord"
Good evening m'lady,"Good evening, m'lady"
the red-faced scullion bows slightly,The red-faced scullion bows slightly
Servants,Servants
Henchman,Henchman
Brigand Archer,Brigand Archer
Brigand Rogue,Brigand Rogue
Brigand Swordsman,Brigand Swordsman
Child,Child
Jester,Jester
Farmer,Farmer
Fruit-Picker,Fruit-Picker
FRUIT-PICKER,FRUIT-PICKER
Handmaid,Handmaid
Crewmember,Crewmember
Refugee,Refugee
"A ragged, hungry refugee from Horryn","A ragged, hungry refugee from Horryn"
Treasure Hunter,Treasure Hunter
Fire-Spitter,Fire-Spitter
Mercenary,Mercenary
"The mercenary looks at you, menacingly","The mercenary looks at you, menacingly"
Armorer,Armourer
Arms Merchant,Arms Merchant
Food Merchant,Food Merchant
Potion Merchant,Potion Merchant
Reagent Merchant,Reagent Merchant
Spell Merchant,Spell Merchant
Trinket Merchant,Trinket Merchant
Pilgrim,Pilgrim
Reaver Berserker,Reaver Berserker
Reaver Brute,Reaver Brute
Reaver Scout,Reaver Scout
Reaver,Reaver
Reaver Blackguard,Reaver Blackguard
Reaver Mystic,Reaver Mystic
Cultist,Cultist
Prisoner,Prisoner
Wretch,Wretch
Sailor,Sailor
Captain,Captain
Mad Sailor,Mad Sailor
Mad Sailo,Mad Sailo
Guild Magos,Guild Magos
Guild Mag,Guild Mag
Wight,Wight
Apprentice,Apprentice
Feral Clone,Feral Clone
#Monsters,#Monsters
Giant Bat,Giant Bat
Giant Beetle,Giant Beetle
Rhino Beetle,Rhino Beetle
Carrion Crawler,Carrion Crawler
Giant Centipede,Giant Centipede
Fell Crab,Fell Crab
Corpse Eater,Corpse Eater
Giant Crab,Giant Crab
Crab,Crab
Rot Crab,Rot Crab
Spider Crab,Spider Crab
Brood Guard,Brood Guard
Father,Father
Deep One Priestess,Deep One Priestess
Deep One Queen,Deep One Queen
Deep One Warrior,Deep One Warrior
Devolved,Devolved
Ghoul,Ghoul
Frost Ghoul,Frost Ghoul
Giant Gnat,Giant Gnat
Cave Gnat,Cave Gnat
Fell Hog,Fell Hog
Dire Hound,Dire Hound
Fell Hound,Fell Hound
Ice Hound,Ice Hound
Ice Strider,Ice Strider
