original,translate
#Steam Achivements,#Logros de Steam
All is Darkness,Todo es oscuridad
You’ve finished the game!,¡Has terminado el juego!
A Deeper Dark,Una oscuridad más profunda
You’ve completed the lighthouse-keeper’s quest,Has completado la misión del farero. faro
The Liberator of Horryn,El libertador de Horryn
You’ve liberated the beleaguered town of Horryn,Has liberado la asediada ciudad de Horryn
Patricide,Patricidio
You’ve slain the foul leader of the Reavers on Idra,Has matado al malvado líder de los Saqueadores en Idra
Pilgrimage,Peregrinaje
Puppeteer,Titiritero
You managed to defeat the Reaver chieftains using wits rather than brawn,Has conseguido derrotar a los jefes Reaver usando más el ingenio que la fuerza física
A Light in the Darkness,Una luz en la oscuridad
You managed to help the wretched refugees of Horryn,Has conseguido ayudar a los desdichados refugiados de Horryn
Gradla,Gradla
You’ve sailed north to Gradla to uncover the secrets that may be found on the island's plateau,"Has navegado hacia el norte, a Gradla, para descubrir los secretos que pueden encontrarse en la meseta de la isla"
Shores of Idra,Orillas de Idra
You've made it to the bleak shores of the Isle of Idra,Has llegado a las sombrías orillas de la Isla de Idra
Such Wonders,Tales Maravillas
The Eternity Gate,La Puerta de la Eternidad
The Black Priory reveals its secrets to you,El Priorato Negro te revela sus secretos
The Priory Opens,El Priorato se Abre
You stand at the threshold of the Black Priory,Te encuentras en el umbral del Priorato Negro
The Queen is Dead,La Reina ha Muerto
Tower of Ash,Torre de Ceniza
Chitters-In-Darkness,Gorjeos en la Oscuridad
