original,translate
#Steam Achivements,#Достижения команды
All is Darkness,Все есть тьма
You’ve finished the game!,Вы закончили игру!
A Deeper Dark,Глубокая тьма
You’ve completed the lighthouse-keeper’s quest,Вы выполнили квест смотрителя маяка
The Liberator of Horryn,Освободитель Хоррина
You’ve liberated the beleaguered town of Horryn,Вы освободили осажденный город Хоррин.
Patricide,Отцеубийство
You’ve slain the foul leader of the Reavers on Idra,Вы убили нечестивого предводителя Риверов на Идре.
Pilgrimage,Паломничество
Puppeteer,Кукловод
You managed to defeat the Reaver chieftains using wits rather than brawn,"Вам удалось победить вождей бритв, используя не мужество, а ум."
A Light in the Darkness,Свет во тьме
You managed to help the wretched refugees of Horryn,Вам удалось помочь несчастным беженцам из Хоррина.
Gradla,Градла
You’ve sailed north to Gradla to uncover the secrets that may be found on the island's plateau,"Вы плывете на север, в Градлу, чтобы раскрыть секреты, которые могут быть найдены на плато острова."
Shores of Idra,Берега Идры
You've made it to the bleak shores of the Isle of Idra,Вы добрались до мрачных берегов острова Идра.
Such Wonders,Такие чудеса
The Eternity Gate,Врата вечности
The Black Priory reveals its secrets to you,Черный приор раскрывает перед вами свои секреты
The Priory Opens,Приорат открывается
You stand at the threshold of the Black Priory,Вы стоите на пороге Черного Приората.
The Queen is Dead,Королева мертва
Tower of Ash,Башня из пепла
Chitters-In-Darkness,Chitters-In-Darkness
