original,translate
#Steam Achivements,#Steam 도전 과제
All is Darkness,모든 것은 어둠뿐
You’ve finished the game!,"진심으로 축하합니다, 게임을 완료하셨습니다!"
A Deeper Dark,더 깊은 어둠
You’ve completed the lighthouse-keeper’s quest,등대지기의 퀘스트를 완료했습니다
The Liberator of Horryn,호린의 해방자
You’ve liberated the beleaguered town of Horryn,당신은 곤경에 처한 항구 도시 호린을 해방시켰습니다
Patricide,부친 살해
You’ve slain the foul leader of the Reavers on Idra,당신은 이드라의 약탈자들을 이끄는 역겨운 지도자를 처단했습니다
Pilgrimage,순례
Puppeteer,인형 조종사
You managed to defeat the Reaver chieftains using wits rather than brawn,"지략이 뛰어난 오디세우스여, 당신은 칼부림 없이 지혜와 교활함만으로 약탈자 족장들을 제압했습니다"
A Light in the Darkness,어둠 속의 한 줄기 빛
You managed to help the wretched refugees of Horryn,당신은 호린의 불행한 난민들에게 도움을 제공했습니다
Gradla,그라들라
You’ve sailed north to Gradla to uncover the secrets that may be found on the island's plateau,"당신은 북쪽의 그라들라로 항해하여, 섬의 고원에서 비밀을 밝혀냈습니다"
Shores of Idra,이드라의 해안
You've made it to the bleak shores of the Isle of Idra,당신은 이드라섬의 황량한 해안에 도착했습니다
Such Wonders,경이로운 광경
The Eternity Gate,영원의 문
The Black Priory reveals its secrets to you,검은 수도원이 당신에게 비밀을 드러냅니다
The Priory Opens,수도원이 열리다
You stand at the threshold of the Black Priory,당신은 검은 수도원의 문턱에 서 있습니다
The Queen is Dead,여왕이 죽다
Tower of Ash,재의 탑
Chitters-In-Darkness,어둠 속의 딱딱거림
