original,translate
Picked up,Поднято
Something just struck the ship!,Что-то ударило по кораблю!
Locked!,Заперто!
Equipped {ITEM}, Надето {ITEM}
Unequipped {ITEM}, Снято {ITEM}
I spotted something!,Я что-то заметил!
You add,Вы добавляете
to your party,в вашу команду
is now leading the party!,теперь возглавляет команду!
Game Saved,Игра сохранена
I don't see any enemies!,Я не вижу врагов!
Picked up some items,Подобрал какие-то вещи
Cannot use a ranged weapon in melee,Нельзя использовать дальнобойное оружие в ближнем бою
It's too dark to make out anything!,"Слишком темно, чтобы что-либо разглядеть!"
Used {ITEM},Использовано {ITEM}
Crafted,Создано
Can't be far now?,Уже недалеко?
Added Ability,Добавлена способность
