original,translate
#Cleric Feats,#Cleric Feats
Medium Armor Expert,Medium Armour Expert
Heavy Armor Expert,Heavy Armour Expert
Body Magic Initiate,Body Magic Initiate
You may now cast Tier 1 spells of the Body School,You may now cast Tier 1 spells of the Body School
Body Magic Expert,Body Magic Expert
You may now cast Tier 2 spells of the Body School,You may now cast Tier 2 spells of the Body School
Body Magic Master,Body Magic Master
You may now cast Tier 3 spells of the Body School,You may now cast Tier 3 spells of the Body School
Body Magic Grand Master,Body Magic Grandmaster
You may now cast Tier 4 spells of the Body School,You may now cast Tier 4 spells of the Body School
Mind Magic Initiate,Mind Magic Initiate
You may now cast Tier 1 spells of the Mind School,You may now cast Tier 1 spells of the Mind School
Mind Magic Expert,Mind Magic Expert
You may now cast Tier 2 spells of the Mind School,You may now cast Tier 2 spells of the Mind School
Mind Magic Master,Mind Magic Master
You may now cast Tier 3 spells of the Mind School,You may now cast Tier 3 spells of the Mind School
Mind Magic Grand Master,Mind Magic Grandmaster
You may now cast Tier 4 spells of the Mind School,You may now cast Tier 4 spells of the Mind School
Religious Training,Religious Training
Resilience Initiate,Resilience Initiate
Resilience Expert,Resilience Expert
Divine Spellcasting,Divine Spellcasting
"You gain the ability to learn spells from the Mind, Body and Spirit School","You gain the ability to learn spells from the Mind, Body and Spirit School"
Spirit Magic Initiate,Spirit Magic Initiate
You may now cast Tier 1 spells of the Spirit School,You may now cast Tier 1 spells of the Spirit School
Spirit Magic Expert,Spirit Magic Expert
You may now cast Tier 2 spells of the Spirit School,You may now cast Tier 2 spells of the Spirit School
Spirit Magic Master,Spirit Magic Master
You may now cast Tier 3 spells of the Spirit School,You may now cast Tier 3 spells of the Spirit School
Spirit Magic Grand Master,Spirit Magic Grandmaster
You may now cast Tier 4 spells of the Spirit School,You may now cast Tier 4 spells of the Spirit School
Faithful Initiate,Faithful Initiate
Faithful Expert,Faithful Expert
Faithful Master,Faithful Master
Faithful Grand Master,Faithful Grandmaster
Cleric Weapons Initate,Cleric Weapons Initiate
Cleric Weapons Expert,Cleric Weapons Expert
Cleric Weapons Master,Cleric Weapons Master
Cleric Weapons Grand Master,Cleric Weapons Grandmaster
#Magos Feats,#Magos Feats
