original,traducido
#Cleric Feats,#Dotes de clerigo
Medium Armor Expert,Experto en armadura media
Heavy Armor Expert,Experto en armaduras pesadas
Body Magic Initiate,Iniciado en Magia Corporal
You may now cast Tier 1 spells of the Body School,Ahora puedes lanzar hechizos de nivel 1 de la Escuela del Cuerpo
Body Magic Expert,Experto en magia corporal
You may now cast Tier 2 spells of the Body School,Ahora puedes lanzar hechizos de nivel 2 de la Escuela del Cuerpo
Body Magic Master,Maestro de magia corporal
You may now cast Tier 3 spells of the Body School,Ahora puedes lanzar hechizos de nivel 3 de la Escuela del Cuerpo
Body Magic Grand Master,Gran Maestro de Magia Corporal
You may now cast Tier 4 spells of the Body School,Ahora puedes lanzar hechizos de nivel 4 de la Escuela del Cuerpo
Mind Magic Initiate,Iniciado en Magia Mental
You may now cast Tier 1 spells of the Mind School,Ahora puedes lanzar hechizos de nivel 1 de la Escuela de la Mente
Mind Magic Expert,Experto en magia mental
You may now cast Tier 2 spells of the Mind School,Ahora puedes lanzar hechizos de nivel 2 de la Escuela de la Mente
Mind Magic Master,Maestro de magia mental
You may now cast Tier 3 spells of the Mind School,Ahora puedes lanzar hechizos de nivel 3 de la Escuela de la Mente
Mind Magic Grand Master,Gran Maestro de Magia Mental
You may now cast Tier 4 spells of the Mind School,Ahora puedes lanzar hechizos de nivel 4 de la Escuela de la Mente
Religious Training,Formacion religiosa
Resilience Initiate,Resiliencia Iniciar
Resilience Expert,Experto en resiliencia
Divine Spellcasting,Lanzamiento de hechizos divinos
"You gain the ability to learn spells from the Mind, Body and Spirit School","Obtienes la capacidad de aprender hechizos de la Escuela de Mente, Cuerpo y Espiritu"
Spirit Magic Initiate,Iniciado en Magia Espiritual
You may now cast Tier 1 spells of the Spirit School,Ahora puedes lanzar hechizos de nivel 1 de la Escuela Espiritual
Spirit Magic Expert,Experto en magia espiritual
You may now cast Tier 2 spells of the Spirit School,Ahora puedes lanzar hechizos de nivel 2 de la Escuela Espiritual
Spirit Magic Master,Maestro de magia espiritual
You may now cast Tier 3 spells of the Spirit School,Ahora puedes lanzar hechizos de nivel 3 de la Escuela Espiritual
Spirit Magic Grand Master,Gran Maestro de Magia Espiritual
You may now cast Tier 4 spells of the Spirit School,Ahora puedes lanzar hechizos de nivel 4 de la Escuela Espiritual
Faithful Initiate,Iniciado fiel
Faithful Expert,Experto fiel
Faithful Master,Maestro fiel
Faithful Grand Master,Fiel Gran Maestro
Cleric Weapons Initate,Armas de clerigo iniciadas
Cleric Weapons Expert,Clerigo experto en armas
Cleric Weapons Master,Maestro de armas clerigo
Cleric Weapons Grand Master,Gran Maestro de Armas de Clerigo
#Magos Feats,Hazañas de #Magos
Air Magic Initiate,Iniciado en Magia del Aire
Air Magic Expert,Experto en magia del aire
Air Magic Master,Maestro de magia del aire
Air Magic Grand Master,Gran Maestro de Magia del Aire
Trickster Initiate,Iniciado tramposo
Trickster Expert,Experto embaucador
Trickster Master,Maestro embaucador
Arcane Font Initiate,Iniciado en fuentes arcana
Arcane Font Expert,Experto en fuentes arcanas
Arcane Font Master,Maestro de fuentes arcanas
Arcane Spellcasting,Lanzamiento de conjuros arcanos
Sorcerous Initiate,Iniciado hechicero
Sorcerous Expert,Experto hechicero
Sorcerous Master,Maestro hechicero
