original,translate
Picked up,Recogido
Something just struck the ship!,¡Algo acaba de golpear la nave!
Locked!,¡Cerrado!
Equipped {ITEM},Equipado {ITEM}
Unequipped {ITEM},Sin equipar {ITEM}
I spotted something!,¡He descubierto algo!
You add,Añades
to your party,a tu grupo
is now leading the party!,esta liderando al grupo!
Game Saved,Juego Guardado
I don't see any enemies!,¡No veo ningún enemigo!
Picked up some items,Recogidos algunos objetos
Cannot use a ranged weapon in melee,No se puede utilizar un arma a distancia en cuerpo a cuerpo
It's too dark to make out anything!,¡Esta demasiado oscuro para ver nada!
Used {ITEM},Usado {ITEM}
Crafted,Elaborado
Can't be far now?,¿No puede estar muy lejos?
Added Ability,Habilidad añadida
