original,translate
#Beds,#Beds
Bed,A bed
Bedroll,A bedroll
#Containers,#Containers
Armor Stand,An armour stand
Armor Stands,Armour stands
Backpack,A backpack
Arrows,Arrows
A Barrel,A common barrel
"A barrel of standard Imperial measurements, used to carry cargo on Guild ships","A barrel of standard Imperial measurements, used to carry cargo on Guild ships"
Barrels,Barrels
Bookshelf,Bookshelf
Box,A box
A solid box,A solid box
Brandy Crates,Brandy crates
Cabinet,A cabinet
A Chest,A chest
A sturdy wooden chest,A sturdy wooden chest
A shoddy wooden chest,A shoddy wooden chest
Cocoon,Cocoon
The Butcher,The Butcher
Corpse,A corpse
Sailor's Corpse,A sailor's corpse
Kala,Kala
Oleg,Oleg
Mauled Corpses,Mauled corpses
A Crate,A crate
A well made wooden crate that carries the brand of the Nautical Guild,A well made wooden crate branded with the Nautical Guild's seal
Crates,Many crates
Small wooden crates,Small wooden crates
Alcove,An alcove
Shelves,Some shelves
Desk,A Desk
Apothecary's Desk,An apothecary's desk
Flower,A lovely flower
Secret Compartment,Secret compartment
Your Luggage,Your luggage.
A very sturdy wooden chest,A very sturdy wooden chest
A sturdy chest,A sturdy chest
Table of Notes,Table of notes
Sacks,Some sacks
Sarcophagus,A sarcophagus
Reagent Shelf,A reagent shelf
Smuggler's Corpse,A smuggler's corpse
Table,A table
Surgical Tools,A set of surgical tools
#Decoratives,#Decoratives
Cave-In,Cave-In
Aquarium,Aquarium
Cauldron,A cauldron.
An empty cauldron,An empty cauldron
Eyes,Eyes!
Fountain,A fountain
Glowstaff,Glow Staff
Reefs,Reefs
Empty Grave,An empty grave
Pile of Straw,A pile of straw
Infestation,Infestation
Ancient Pottery,Ancient pottery
"Ancient clay pottery covered in strange, ornate circular patterns","Ancient clay pottery covered in strange, ornate circular patterns"
Hole,A hole
Scarecrow,A scarecrow
#Doors,#Doors
Barred Gate,A barred gate.
Door,A door
Gate,A gate
A Door,A door
A double wooden door,A wooden double door
A simple wooden door,A simple wooden door
A flimsy wooden door,A flimsy wooden door
A Hidden Door,A hidden door
Stone Slab,A stone slab
