original,translate
#Chapter 0,#Chapter 0
Man Over Board,Man Overboard!
Roland fell overboard,Roland fell overboard. What became of that unfortunate soul?
An Old Boar,An Old Boar
"I encountered one of my father’s old friends, Kydeon, at the Berryn estate","I encountered one of my father’s old friends, Kydeon, at the Berryn estate"
It was good to see the old boar again,It was good to see that old boar again
Waking up,Waking up
I woke up in the hold of the Zephyr to find something is wrong on the ship,"Within the hold of the good ship Zephyr, the vessel granting me passage to Idra, I woke up to find that something was untoward"
#Chapter 1,#Chapter 1
A Foul Cave,A Foul Cave
I discovered a cave near the spot where I landed on Idra,I discovered a cave near the spot where I was dashed upon the shores of Idra
A foul stench of rotting flesh and seaweed lies thick inside,A foul and fetid stench of rotting flesh and seaweed lies thick inside
Driina the Sepulchite,Driina the Sepulchite
I was joined by a Sepulchite cleric by the name Driina,I was joined by a Sepulchite cleric by the name Driina
She intends to search for a way into the city of Horryn which has apparently been overrun by cultists,She intends to search for a way into the city of Horryn which she claims has apparently been overrun by cultists
"Before we leave the camp, she insists we make a stop by the camp’s de-facto leader","Before we leave the refugee camp, she insists we stop and speak with the camp’s de-facto leader"
Someone named Markus who is holed up in a stable nearby,Someone named Markus who is holed up in a stable nearby
A Floating Corpse,A Floating Corpse
I found a lost soul in the underwater cave system under the lighthouse,The underwater cave system beneath the lighthouse was home to a lost soul.
The poor wretch must have gotten lost in the darkness and drowned,"That poor bugger must have become lost, fumbling around in the darkness, trying to avoid the dangers lurking within this place; seeking an alternative way out or a treasure deep within, only to have drowned in the attempt"
I must take care I do not share his fate,I must take heed I do not share his fate
There was a key on the corpse,There was a key on his corpse
Embla in Horryn,Embla in Horryn
Frantzo the former innkeeper just told me that Embla stayed at his inn in Horryn in the days leading up to the calamities that saw the city overrun,"Frantzo, the former innkeeper, just told me that Embla stayed at his inn in Horryn in the days leading up to the calamities that saw the city overrun"
The Gates are Sealed,The Gates are Sealed
I searched for a way into Horryn but had little luck,I searched for a way into Horryn but had little luck
"For now, it seems I must carve out some other way of surviving on this barren island until an opportunity presents itself","For now, it seems I must carve out some other way of surviving on this barren island until an opportunity presents itself"
"Till then, the island no doubt overflows with desperate wretches in need of assistance","Till then, the island no doubt overflows with desperate wretches in need of assistance"
"Till then, Driina suggests we must return to the refugee camp and do all we can to aid them in their desperate plight","Till then, Driina suggests we must return to the refugee camp and do all we can to aid them in their desperate plight"
A Ritual Dagger,A Ritual Dagger
I recovered a strange dagger of indeterminate age from the underwater caves beneath the lighthouse on Idra,I recovered a strange dagger of indeterminate age from the underwater caves beneath the lighthouse on Idra
It appears to have been a form of ritual implement and I suspect it might still hold both significance and power,"Given the intricate, ornamental design of its handle and the location in which I found it, I judge that this dagger served some sort of ritualistic purpose in the distant past. I also suspect it may still hold some significance and power"
Astronomer's Journal,Astronomer's Journal
I found a strange journal that seems to have belonged to an Imperial astronomer,I found a strange journal that seems to have belonged to an Imperial astronomer
"It appears the poor man felt the stars are somehow ""wrong"" after spotting a strange star-cluster in the southeastern quadrant","It appears the poor man felt the stars are somehow ""wrong"" after spotting a strange star-cluster in the southeastern quadrant"
A Feast for Lizards,A Feast for Lizards
I found scraps of rotting flesh in the lizard-cave on Idra,I found scraps of rotting human flesh sloughing from their bones in the lizard-cave on Idra
I wonder if the reptiles would gorge themselves if they had more flesh?,I wonder if the reptiles would gorge themselves if they had something a little more recently deceased?
Goat Gold,Goat Gold
"Jakub the farmer, paid me a small bribe to keep quiet about his hidden goats",Jakub the farmer slipped a small purse of gold in my direction to keep my mouth shut about his hidden goats
Jakub is Done Talking,Jakub is Done Talking
"Jakub, the Idran goat farmer, has made it clear he has nothing more to say regarding the issue of his hidden goats","Jakub, the Idran goat farmer, has made it clear he has nothing more to say regarding the issue of his hidden goats"
The Gravedigger,The Gravedigger
I met a poor fellow outside the Idran refugee camp,I met a poor fellow outside the Idran refugee camp
Ha had the thankless task of burying dead refugees,He had the thankless task of burying dead refugees
I offered to help him before the horrid entities that roam the island made short work of him,"I took pity on him and offered to lend him some assistance, as horrid entities prowl this island that would make short work of him. it would be tragic were the gravedigger were to join the dead"
"Needless to say, he didn’t think twice","Needless to say, he didn’t think twice."
The Hidden Glen,The Hidden Glen
I learned the way to a hidden glen near the refugee camp on Idra,I learned the way to a glen sequestered in the hills near the refugee camp on Idra
The best way to get there is to find and follow the goat tracks behind the old goat enclosure on Jakub’s farm,"Though I can make my own way there furtively, it may be expedient to track the goat footprints left behind as the herd made their way from the enclosure on Jakub's farm to their retreat"
A Survivor,A Survivor
I found a sailor named Andry cowering in the foul caves near my landing site on Idra,I found a sailor named Andry cowering in the foul caves near my landing site on Idra
He thanked me profusely for the help and made his way out to look for fellow survivors,He thanked me profusely for the help and made his way out to look for others who survived the wrecking of the Zephyr
The Lighthouse,The Lighthouse
I made it to the lighthouse and met its keeper Mathias,"I made it to the lighthouse and met its keeper, Mathias"
A haggard old fellow that had barricaded himself on the top floor of the structure,A haggard old fellow that had barricaded himself on the top floor of the structure
"To his credit, he’s managed to keep the lighthouse running throughout the calamities that are befalling this island","To his credit, he’s managed to keep the lighthouse running throughout the calamities that are befalling this island"
No doubt this is critical to the survival of those still caught out at sea,"No doubt all still caught out at sea owe him a great deal of thanks, and perhaps their lives"
The second keeper,The second keeper
The lighthouse in Idra seems to have had a second keeper,The lighthouse in Idra seems to have had a second keeper
A man named Caspar who seemingly went mad dreaming about caves underneath the lighthouse,A man named Caspar who seemingly went mad dreaming about caves underneath the lighthouse
His writing mentions a “blade” calling him there,His writing mentions a “blade” calling him there
Monoliths,Monoliths
There are strange monoliths on Idra,There are strange monoliths scattered all over Idra
"Though they appear to be ancient, it seems someone is still performing rituals at them","Though they appear to be ancient, it seems someone is still performing rituals at them"
Surviving Sailors,Surviving Sailors
I came across a group of survivors from the Zephyr,I came across a group of survivors from the Zephyr
"They were hold up in some abandoned fishing huts and their leader, Snow, asked that I send any other survivors from the Zephyr to their camp","They were hold up in some abandoned fishing huts and their leader, Snow, requested that I send any other survivors I find from the Zephyr to their makeshift encampment"
The Telescope,The Telescope
"Though I cannot really put into words what I saw, I used the astronomer’s telescope and I saw terrible things","Though it's difficult to put what I saw into words, when I peered into the astronomer's telescope I saw some truly terrible things"
I am beset by a deep certainty that something is gravely wrong on this island,"Even more than ever, I am beset by a mounting certainty that something is gravely wrong with this place"
The Weathermaiden's Plight,The Weathermaiden's Plight
A crewman from the ship “Weathermaiden” has asked that I seek out the first mate Zhara,"A crewman from the ship Weathermaiden approached me to ask that I seek out its first mate, Zhara"
They are holed up in a large sea-cave at position 66 by 91 on the Outer Isles map,"The ship's crew are holed up in a large sea-cave, which the sailor pointed to being at the coordinates 66 by 91 on a map of the Outer Isles"
That should make it north-west of the refugee-camp,"If I recall correctly, that should make its position northwest of the refugee camp"
An Abandoned Farm,An Abandoned Farm
I came across a small abandoned farm near the beach where I came ashore on Idra,I came across a small abandoned farm near the beach where I came ashore on Idra
It’s pretty derelict but it might serve well enough as a makeshift camp,It’s pretty derelict but it might serve me well as a makeshift camp for the time being
Markus the Chamberlain,Markus the Chamberlain
I met and spoke with the de-facto leader of the refugee camp north of Horryn,I met and spoke with the de-facto leader of the refugee camp north of Horryn
Apparently the town has been overrun by crazed cultists,"Apparently, the town has been overrun by crazed cultists"
"Worse, the city-gates are apparently sealed making it impossible to get back in","Worse still, the city gates are apparently sealed, making it impossible to enter"
For now my energy might be well spent trying to ease the plight of the refugees,"For now, my energy might be well spent trying to ease the plight of the refugees"
Smuggler's Cache,Smuggler's Cache
I found an abandoned smuggler's cache in one of the Caves on Idra,I found an abandoned smuggler's cache in one of the Caves on Idra
Perhaps there are more like it to be found on the Outer Isles?,Perhaps there are more like it to be found on the Outer Isles?
The Wreck Picker,The Wreck Picker
I met a strange old wreck picker by the name of Basilo,I met a strange old wreck picker by the name of Basilo
"Though I should be careful in trusting him, he has offered to buy any scrap I find on the beach",He seems unstable; a capricious and untrustworthy man that could turn on me at the drop of a hat
I can find him in an old farm house north of where I landed on Idra,"Yet he seems placated for the moment, offering to trade and purchase any scrap I may find along the shore"
The Zephyr,The Zephyr
Apparently the wreck of the Zephyr has shifted enough in the tides that it is now possible to enter it,"Apparently the wreck of the Zephyr has shifted enough in the tides, making it possible to enter it "
#Chapter 2,#Chapter 2
Oleg's Plan,Oleg's Plan
I told Oleg that the Butcher has gotten hold of his unholy tablets,I told Oleg that the Butcher has gotten hold of his unholy tablets
The news caused the old chieftain to decide to attempt to end the Butcher,The news caused the old chieftain to decide to attempt to end the Butcher
"I suspect that Oleg doesn’t stand a chance against him alone so perhaps I should ask the third chieftain, Kala, to side with Oleg?","I suspect that Oleg doesn’t stand a chance against him alone, so perhaps I should ask the third chieftain, Kala, to side with Oleg?"
Together they might be able to take down the Butcher,Together they might be able to take down the Butcher
Oleg the Gray is Dead,Oleg the Grey is Dead
The Reaver chief Oleg the Gray is dead,"The Reaver chieftain, Oleg the Grey, is dead"
Oleg's Right to Rule,Oleg's Right to Rule
I met one of the three Reaver chieftains,I met one of the three Reaver chieftains
Oleg,Oleg
He’s the oldest of the three and claims to hold ‘sacred’ tablets that gives him the right to rule over his siblings; Kala and the Butcher,He’s the eldest of the three and claims to hold ‘sacred’ tablets that gives him the right to rule over his siblings; Kala and the Butcher
He’s asked me to seek them out and remind them of that fact,"At his behest, I have been tasked with seeking them out and gently reminding them who has the right to dominion"
Queen Kala is Dead,Queen Kala is Dead
The Reaver chief 'queen' Kala is dead,The Reaver chief 'queen' Kala is dead
The Butcher is Dead,The Butcher is Dead
The Reaver chief known as 'the Butcher' is dead,The Reaver chief known as 'the Butcher' is dead
The Reaver Tablets,The Reaver Tablets
I gave the Reaver Tablets to the Butcher,I gave the Reaver Tablets to the Butcher
He now intends to make an offering of Oleg as part of his ascent to Father's side,He now intends to make an offering of Oleg as part of his ascent to Father's side
He's asked me to go tell Kala he wants her at his side for the final slaughter,He's asked me to go tell Kala he wants her at his side for the final slaughter
The Butcher's Designs,The Butcher's Designs
I met the Reaver chieftain that calls himself “The Butcher,I met the Reaver chieftain who calls himself “The Butcher
He’s determined to win the favor of the one the Reavers call Father by subjugating his siblings,"He’s determined to win the favour of the one the Reavers call ""Father"" by subjugating his siblings"
Oleg and Kala,Oleg and Kala
For starters he’s asked me to steal a pair of unholy tablets that are currently in the possession of Oleg,"For starters, he's bidden me to swipe a pair of unholy tablets that are currently in Oleg's possession, and return them to their rightful owner"
They are being kept in tunnels under Oleg's lodge in the east end of town,They are being kept in tunnels under Oleg's lodge in the east end of town
There is apparently a secret entrance to them if I “don’t mind wading through shit,There is apparently a secret entrance to them if I “don’t mind wading through shite
The Waif,The Waif
I met a young girl in the ruins of Horryn and managed to win her trust with some food,I met a young girl in the ruins of Horryn and managed to win her trust with some food
She has proven quite resourceful and has successfully managed to evade the Reavers,She has proven quite resourceful and has successfully managed to evade the Reavers
It turns out she had quite a bit of information about them,It turns out she had quite a bit of information about them
She’s currently hiding in an alley west of the plaza,She’s currently hiding in an alley west of the plaza
A Strange Growth,A Strange Growth
I came across a strange fungus growing on some of the fresh corpses in the crypt under the Horryn temple,I came across a strange fungus growing on some of the fresh corpses in the crypt under the Horryn temple
