original,translate
#Cleric Feats,#Навыки Клерика
Medium Armor Expert,Эксперт по средней броне
Heavy Armor Expert,Эксперт по тяжелой броне
Body Magic Initiate,Ученик магии тела
You may now cast Tier 1 spells of the Body School,Теперь вы можете применять заклинания первого уровня школы тела.
Body Magic Expert,Эксперт по магии тела
You may now cast Tier 2 spells of the Body School,Теперь вы можете применять заклинания второго уровня школы тела.
Body Magic Master,Мастер магии тела
You may now cast Tier 3 spells of the Body School,Теперь вы можете произносить заклинания 3-го уровня школы тела.
Body Magic Grand Master,Великий магистр магии тела
You may now cast Tier 4 spells of the Body School,Теперь вы можете применять заклинания уровня 4 школы тела.
Mind Magic Initiate,Ученик магии разума
You may now cast Tier 1 spells of the Mind School,Теперь вы можете произносить заклинания первого уровня школы разума.
Mind Magic Expert,Эксперт по магии разума
You may now cast Tier 2 spells of the Mind School,Теперь вы можете произносить заклинания второго уровня школы разума.
Mind Magic Master,Магистр магии разума
You may now cast Tier 3 spells of the Mind School,Теперь вы можете произносить заклинания 3-го уровня школы разума.
Mind Magic Grand Master,Великий магистр магии разума
You may now cast Tier 4 spells of the Mind School,Теперь вы можете произносить заклинания 4-го уровня школы разума.
Religious Training,Религиозная подготовка
Resilience Initiate,Устойчивость: Ученик
Resilience Expert,Устойчивость: Эксперт
Divine Spellcasting,Божественное заклинание
"You gain the ability to learn spells from the Mind, Body and Spirit School","Вы получаете способность изучать заклинания из школы разума, тела и духа."
Spirit Magic Initiate,Ученик магии духа
You may now cast Tier 1 spells of the Spirit School,Теперь вы можете произносить заклинания первого уровня школы духов.
Spirit Magic Expert,Эксперт по магии духов
You may now cast Tier 2 spells of the Spirit School,Теперь вы можете произносить заклинания второго уровня школы духов.
Spirit Magic Master,Мастер магии духов
You may now cast Tier 3 spells of the Spirit School,Теперь вы можете произносить заклинания 3-го уровня школы духов.
Spirit Magic Grand Master,Великий магистр магии духов
You may now cast Tier 4 spells of the Spirit School,Теперь вы можете произносить заклинания 4-го уровня школы духов.
Faithful Initiate,Верный инициатор
Faithful Expert,Верный эксперт
Faithful Master,Верный хозяин
Faithful Grand Master,Верный Великий Магистр
Cleric Weapons Initate,Инициация оружия клирика
Cleric Weapons Expert,Клирик Эксперт по оружию
Cleric Weapons Master,Клирик Мастер оружия
Cleric Weapons Grand Master,Великий мастер клирического оружия
#Magos Feats,#Умения Мага
Air Magic Initiate,Магия воздуха: Ученик
Air Magic Expert,Магия воздуха: Эксперт
Air Magic Master,Магия воздуха: Мастер
Air Magic Grand Master,Магия воздуха: Гранд-мастер
Trickster Initiate,Трикстер: Ученик
Trickster Expert,Трикстер: Эксперт
Trickster Master,Трикстер: Мастер
Arcane Font Initiate,Арканная купель: Ученик
Arcane Font Expert,Арканная купель: Эксперт
Arcane Font Master,Арканная купель: Мастер
Arcane Spellcasting,Тайное колдовство
Sorcerous Initiate,Колдовство: Ученик
Sorcerous Expert,Колдовство: Эксперт
Sorcerous Master,Колдовство: Мастер
Blade Initiate,Клинок: Ученик
Earth Magic Initiate,Магия земли: Ученик
Earth Magic Expert,Магия земли: Эксперт
Earth Magic Master,Магия земли: Мастер
Earth Magic Grand Master,Магия земли: Гранд-мастер
