original,translate
#Weapons,#Weapons
Crude Broadsword,Crude Broadsword
Crude Club,Crude Club
Crude Cutlass,Crude Cutlass
Crude Dagger,Crude Dagger
Crude Greataxe,Crude Greataxe
Crude Greathammer,Crude Greathammer
Crude Handaxe,Crude Hand axe
Crude Longsword,Crude Longsword
Crude Mace,Crude Mace
Crude Rapier,Crude Rapier
Crude Scimitar,Crude Scimitar
Crude Shortsword,Crude Shortsword
Crude Two-Hander,Crude Two-Hander
Crude Waraxe,Crude War axe
Crude Warhammer,Crude War hammer
Broadsword,Broadsword
Club,Club
Cutlass,Cutlass
Dagger,Dagger
Greataxe,Greataxe
Greathammer,Greathammer
Handaxe,Hand axe
Light Club,Light Club
Longsword,Longsword
Mace,Mace
Rapier,Rapier
Scimitar,Scimitar
Shortsword,Shortsword
Two-Hander,Two-Hander
Waraxe,War axe
Warhammer,War hammer
Fine Broadsword,Fine Broadsword
Fine Club,Fine Club
Fine Cutlass,Fine Cutlass
Fine Dagger,Fine Dagger
Fine Greataxe,Fine Greataxe
Fine Greathammer,Fine Greathammer
Fine Handaxe,Fine Hand axe
Fine Longsword,Fine Longsword
Fine Mace,Fine Mace
Fine Rapier,Fine Rapier
Fine Scimitar,Fine Scimitar
Fine Shortsword,Fine Shortsword
Fine Two-Hander,Fine Two-Hander
Fine Waraxe,Fine War axe
Fine Warhammer,Fine War hammer
Masterwork Broadsword,Masterwork Broadsword
Masterwork Club,Masterwork Club
Masterwork Cutlass,Masterwork Cutlass
Masterwork Dagger,Masterwork Dagger
Masterwork Greataxe,Masterwork Greataxe
Masterwork Greathammer,Masterwork Greathammer
Masterwork Handaxe,Masterwork Hand axe
Masterwork Longsword,Masterwork Longsword
Masterwork Mace,Masterwork Mace
Masterwork Rapier,Masterwork Rapier
Masterwork Scimitar,Masterwork Scimitar
Masterwork Shortsword,Masterwork Shortsword
Masterwork Two-Hander,Masterwork Two-Hander
Masterwork Waraxe,Masterwork War axe
Masterwork Warhammer,Masterwork War hammer
The Sparrowhawk,The Sparrowhawk
A legendary rapier of unrivaled quality,A legendary rapier of unrivalled quality
It also adds +2 to the wielder’s initiative,It also adds +2 to the wielder’s initiative
Ancient Dagger,Ancient Dagger
"An ancient dagger, carved from a strange greenish stone","An ancient dagger, carved from a strange, greenish stone"
It looks almost ritual and you suspect it might be of some value to someone with the right interest,It looks almost ritual and you suspect it might be of some value to someone with the right interest
Mathias's Sword,Mathias' Sword
A beautifully crafted bastard-sword,A beautifully crafted bastard sword
The Lake Blade,The Lake Blade
A stunningly wrought longsword of ancient design,A stunningly wrought longsword of ancient design
The bluish sheen of its metal never seems to lose its luster; giving it its name,The bluish sheen of its metal never seems to lose its lustre; giving it its name
You recovered this sword from the crypt under Horryn,You recovered this sword from the crypt under Horryn
Two-Hander,Two-Hander
A large sword that must be wielded two-handed,A large sword that must be wielded two-handed
A cutlass is a curved sword favored by sailors and swordsmen of Yom-Baria,A cutlass is a curved sword favoured by sailors and swordsmen of Yom-Baria
Crude Longbow,Crude Longbow
Crude Shortbow,Crude Shortbow
Crude Composite Bow,Crude Composite Bow
Composite Longbow,Composite Longbow
Longbow,Longbow
Shortbow,Shortbow
Fine Longbow,Fine Longbow
Fine Shortbow,Fine Shortbow
Fine Composite Bow,Fine Composite Bow
Masterwork Longbow,Masterwork Longbow
Masterwork Shortbow,Masterwork Shortbow
Masterwork Composite Bow,Masterwork Composite Bow
#Weapon Types,#Weapon Types
Light Axe,Light Axe
Medium Axe,Medium Axe
Heavy Axe,Heavy Axe
Light Blade,Light Blade
Medium Blade,Medium Blade
Heavy Blade,Heavy Blade
Light Club,Light Club
Medium Club,Medium Club
Heavy Club,Heavy Club
Light Bow,Light Bow
Medium Bow,Medium Bow
Heavy Bow,Heavy Bow
#Weapons - Ammo,#Weapons - Ammo
Bodkin Arrow,Bodkin Arrow
Broadhead Arrow,Broadhead Arrow
Fire Arrow,Fire Arrow
Hunting Arrow,Hunting Arrow
Poison Arrow,Poison Arrow
Poor Arrow,Poor Arrow
Ammo,Ammo
#Armor,#Armour
Poor Breastplate,Poor Breastplate
Poor Chainmail,Poor Chainmail
Poor Fullplate,Poor Full plate
Poor Halfplate,Poor Half plate
Poor Leather Armor,Poor Leather Armour
Poor Padded Armor,Poor Padded Armour
Poor Scalemail,Poor Scalemail
Poor Studded Leather,Poor Studded Leather
Ancient Halfplate,Ancient Half plate
Fine Breastplate,Fine Breastplate
Fine Chainmail,Fine Chainmail
Fine Fullplate,Fine Full plate
Fine Halfplate,Fine Half plate
Fine Leather Armor,Fine Leather Armour
Fine Padded Armor,Fine Padded Armour
Fine Scalemail,Fine Scalemail
Fine Studded Leather,Fine Studded Leather
Masterwork Breastplate,Masterwork Breastplate
Masterwork Chainmail,Masterwork Chainmail
Masterwork Fullplate,Masterwork Full plate
Masterwork Halfplate,Masterwork Half plate
Masterwork Leather Armor,Masterwork Leather Armour
Masterwork Padded Armor,Masterwork Padded Armour
Masterwork Scalemail,Masterwork Scalemail
Masterwork Studded Leather,Masterwork Studded Leather
The Rat Queen's Armor,The Rat Queen's Armour
Breastplate,Breastplate
Chainmail,Chainmail
Fullplate,Full plate
Half plate,Half Plate
Leather Armor,Leather Armour
Padded Armor,Padded Armour
Scalemail,Scalemail
Studded Leather,Studded Leather
The Second Chance,The Second Chance
Adds the following triggered ability,Adds the following triggered ability
"The first time you take Wound Damage each combat, you automatically regain 30-40 Vitality Hit Points","The first time you take Wound Damage each combat, you instantly regenerate 30-40 Vitality Hit Points"
#Armor - Shields,#Armour - Shields
Buckler,Buckler
A small rounded shield to be worn on the forearm,"A small, rounded shield designed to be worn on the forearm"
Large Shield,Large Shield
A large shield,It is quite large
Plank Shield,Plank Shield
An improvised shield made from wooden planks,An improvised shield for the impoverished combatant. Constructed from wooden planks bound together
Tower Shield,Tower Shield
Shield,Shield
A medium sized shield,A medium sized shield
Tower Shield,Tower Shield
#Clothing,#Clothing
Dress,Dress
Furs,Furs
Noble's Outfit,Noble's Outfit
Pants,Trousers
Tribal Sash,Tribal Sash
Apron,Apron
Bravo's Outfit,Bravo's Outfit
Checkered Tunic,Chequered Tunic
Comfortable Outfit,Comfortable Outfit
Commoner's Garb,Commoner's Garb
Rough but functional woolen clothing that serves the hard-working commoners of the empire well,Rough but functional woollen clothing that serves the hard-working commoners of the empire well
Doublet,Doublet
Flashy Shirt,Flashy Shirt
Rags,Rags
Ranger's Outfit,Ranger's Outfit
Robes,Robes
Short Pants,Braies
Tabard,Tabard
Toga,Toga
Traveler's Garb,Traveller's Garb
Rough but functional woolen clothing,Rough but functional woollen clothing
Well suited for travel and adventuring if you can learn to live with the itching,Well suited for travel and adventuring; if you can learn to live with the itching
#Armor Types,#Armour Types
Light Armor,Light Armour
Medium Armor,Medium Armour
Heavy Armor,Heavy Armour
Shield,Shield
Clothing,Clothing
#Accessories,#Accessories
Armored Boots,Armoured Boots
Masterwork Armored Boots,Masterwork Armoured Boots
Noble's Boots,Noble's Boots
Masterwork Noble's Boots,Masterwork Noble's Boots
Leather Boots,Leather Boots
Masterwork Leather Boots,Masterwork Leather Boots
Travelers Boots,Traveller's Boots
Masterwork Travelers Boots,Masterwork Traveller’s Boots
The Farstriders,The Farstriders
These legendary boots increase the Carrying Capacity of the wearer by 30 lb as well as conferring a +1 bonus to their Fortitude,These legendary boots increase the Carrying Capacity of the wearer by 30lb as well as conferring a +1 bonus to their Fortitude
The Tyrant,The Tyrant
This helmet increases the user’s Awareness and Spell Aptitude by +1,This helmet increases the user’s Awareness and Spell Aptitude by +2
Armored Gauntlets,Armoured Gauntlets
Masterwork Armored Gauntlets,Masterwork Armoured Gauntlets
Noble's Gloves,Noble's Gloves
Masterwork Noble's Gloves,Masterwork Noble's Gloves
Leather Gloves,Leather Gloves
Masterwork Leather Gloves,Masterwork Leather Gloves
Mailed Gauntlets,Mailed Gauntlets
Masterwork Mailed Gauntlets,Masterwork Mailed Gauntlets
Travelers Gloves,Traveller's Gloves
Masterwork Travelers Gloves,Masterwork Traveller's Gloves
Headwear,Headwear
Hat,Hat
Bonnet,Bonnet
Leather Coif,Leather Coif
Rag,Rag
Hood,Hood
Antlers,Antlers
Reaver Crown,Reaver Crown
"A wide-brimmed, felt hat","A wide-brimmed, felt hat"
It is quite stylish but offers little protection,"It is quite stylish hat worn by fops that offers little protection. Legends speak of a heroic outlaw from distant lands, whose ability to evade blows and capture was paradoxically tied to his wearing of a now-legendary wide-brimmed hat"
Wreath,Wreath
Mail Coif,Mail Coif
Coif and Helmet,Coif and Helmet
Masterwork Mail Coif,Masterwork Mail Coif
Full Helmet,Full Helmet
Masterwork Full Helmet,Masterwork Full Helmet
Horned Helmet,Horned Helmet
Masterwork Horned Helmet,Masterwork Horned Helmet
Steel Helmet,Steel Helmet
Masterwork Steel Helmet,Masterwork Steel Helmet
Plumed Helmet,Plumed Helmet
Masterwork Plumed Helmet,Masterwork Plumed Helmet
Tower Helmet,Tower Helmet
Soldier's Helmet,Soldier's Helmet
Officer's Helmet,Officer's Helmet
Jester's Cap,Jester's Cap
#Accessories Jewelry,#Accessories Jewellery
Amulet of Perfect Health,Amulet of Perfect Health
Grants the wearer immunity to Disease,Grants the wearer immunity to Disease
The Lunar Ring,The Lunar Ring
The Lunar Ring increases the radius of Aura spells by,The Lunar Ring increases the radius of Aura spells by
Skull Necklace,Skull Necklace
An exquisitely crafted necklace that could be quite valuable,An exquisitely crafted necklace that could be quite valuable
Diamond Necklace,Diamond Necklace
Firegold Necklace,Firegold Necklace
Coral Necklace,Coral Necklace
Pagan Necklace,Pagan Necklace
Beryl Necklace,Beryl Necklace
Garnet Necklace,Garnet Necklace
Profane Necklace,Profane Necklace
Arcane Necklace,Arcane Necklace
Ancient Necklace,Ancient Necklace
Brass Necklace,Brass Necklace
